,index,start,end,transcription,source,lang,full_path_infile,full_path_outfile,log_file_name
0,0,4.26,7.113,"«Myaryosiw tina (Myaryosiw ti), ",es100708_MatjPelaNEN.WAV,yrk,/Volumes/Boston/Data/NLP/SharedTask/ASR/Pilot_Data/audio_to_release/yrk/es100708_MatjPelaNEN.WAV,/Volumes/Boston/Scratch/dli_del/wav_split_gold/0.wav,/Volumes/Boston/Scratch/dli_del/wav_split_gold/logs/0.log
1,1,7.1160000000000005,9.642,sawa nyeǣǣy (săwă nye). ,es100708_MatjPelaNEN.WAV,yrk,/Volumes/Boston/Data/NLP/SharedTask/ASR/Pilot_Data/audio_to_release/yrk/es100708_MatjPelaNEN.WAV,/Volumes/Boston/Scratch/dli_del/wav_split_gold/1.wav,/Volumes/Boston/Scratch/dli_del/wav_split_gold/logs/1.log
2,2,16.637999999999998,19.785,"Pada ni yutʃitʹq (Pida ni yusidaq), ",es100708_MatjPelaNEN.WAV,yrk,/Volumes/Boston/Data/NLP/SharedTask/ASR/Pilot_Data/audio_to_release/yrk/es100708_MatjPelaNEN.WAV,/Volumes/Boston/Scratch/dli_del/wav_split_gold/2.wav,/Volumes/Boston/Scratch/dli_del/wav_split_gold/logs/2.log
3,3,19.787,22.974,pirye yesyada tănya (pirye yesyada tănya). ,es100708_MatjPelaNEN.WAV,yrk,/Volumes/Boston/Data/NLP/SharedTask/ASR/Pilot_Data/audio_to_release/yrk/es100708_MatjPelaNEN.WAV,/Volumes/Boston/Scratch/dli_del/wav_split_gold/3.wav,/Volumes/Boston/Scratch/dli_del/wav_split_gold/logs/3.log
4,4,94.893,97.867,"Săwawna macraaa (săwawna măncara), ",es100708_MatjPelaNEN.WAV,yrk,/Volumes/Boston/Data/NLP/SharedTask/ASR/Pilot_Data/audio_to_release/yrk/es100708_MatjPelaNEN.WAV,/Volumes/Boston/Scratch/dli_del/wav_split_gold/4.wav,/Volumes/Boston/Scratch/dli_del/wav_split_gold/logs/4.log
5,5,98.555,100.494,"maciŋamaciŋa (măncăraŋa măncăraŋa), ",es100708_MatjPelaNEN.WAV,yrk,/Volumes/Boston/Data/NLP/SharedTask/ASR/Pilot_Data/audio_to_release/yrk/es100708_MatjPelaNEN.WAV,/Volumes/Boston/Scratch/dli_del/wav_split_gold/5.wav,/Volumes/Boston/Scratch/dli_del/wav_split_gold/logs/5.log
6,6,100.497,103.335,"săwawna macampii (săwawna mancambi), ",es100708_MatjPelaNEN.WAV,yrk,/Volumes/Boston/Data/NLP/SharedTask/ASR/Pilot_Data/audio_to_release/yrk/es100708_MatjPelaNEN.WAV,/Volumes/Boston/Scratch/dli_del/wav_split_gold/6.wav,/Volumes/Boston/Scratch/dli_del/wav_split_gold/logs/6.log
7,7,103.335,106.628,ŋokawna mac-i macampi (ŋokawna mancai mancambi). ,es100708_MatjPelaNEN.WAV,yrk,/Volumes/Boston/Data/NLP/SharedTask/ASR/Pilot_Data/audio_to_release/yrk/es100708_MatjPelaNEN.WAV,/Volumes/Boston/Scratch/dli_del/wav_split_gold/7.wav,/Volumes/Boston/Scratch/dli_del/wav_split_gold/logs/7.log
8,8,106.928,111.257,Ʃamyan mac-yam maldambi. (Syamyan măncayam’ maldambi). ,es100708_MatjPelaNEN.WAV,yrk,/Volumes/Boston/Data/NLP/SharedTask/ASR/Pilot_Data/audio_to_release/yrk/es100708_MatjPelaNEN.WAV,/Volumes/Boston/Scratch/dli_del/wav_split_gold/8.wav,/Volumes/Boston/Scratch/dli_del/wav_split_gold/logs/8.log
9,9,111.684,113.94,"Maraŋga ŋǣya, ",es100708_MatjPelaNEN.WAV,yrk,/Volumes/Boston/Data/NLP/SharedTask/ASR/Pilot_Data/audio_to_release/yrk/es100708_MatjPelaNEN.WAV,/Volumes/Boston/Scratch/dli_del/wav_split_gold/9.wav,/Volumes/Boston/Scratch/dli_del/wav_split_gold/logs/9.log
10,10,114.497,117.695,ʃunraa(syunraa) ŋodya pir.  ,es100708_MatjPelaNEN.WAV,yrk,/Volumes/Boston/Data/NLP/SharedTask/ASR/Pilot_Data/audio_to_release/yrk/es100708_MatjPelaNEN.WAV,/Volumes/Boston/Scratch/dli_del/wav_split_gold/10.wav,/Volumes/Boston/Scratch/dli_del/wav_split_gold/logs/10.log
11,11,0.2339999999999999,5.186,"A mănyaq nyerdyenyāna (< nyerdyenyaăna) tayna ŋilnyana ti Muŋguyh nyana ilyewacʹ (ilyewatʃʹ), koloc ŋǣnyu"".",TOYa_audio_TNenets.wav,yrk,/Volumes/Boston/Data/NLP/SharedTask/ASR/Pilot_Data/audio_to_release/yrk/TOYa_audio_TNenets.wav,/Volumes/Boston/Scratch/dli_del/wav_split_gold/11.wav,/Volumes/Boston/Scratch/dli_del/wav_split_gold/logs/11.log
12,12,5.803999999999999,7.15,Tănyana nyaărq ŋǣsisʹ. ,TOYa_audio_TNenets.wav,yrk,/Volumes/Boston/Data/NLP/SharedTask/ASR/Pilot_Data/audio_to_release/yrk/TOYa_audio_TNenets.wav,/Volumes/Boston/Scratch/dli_del/wav_split_gold/12.wav,/Volumes/Boston/Scratch/dli_del/wav_split_gold/logs/12.log
13,13,9.089,11.005,I tănyana ti oyh ninya soyadmh.,TOYa_audio_TNenets.wav,yrk,/Volumes/Boston/Data/NLP/SharedTask/ASR/Pilot_Data/audio_to_release/yrk/TOYa_audio_TNenets.wav,/Volumes/Boston/Scratch/dli_del/wav_split_gold/13.wav,/Volumes/Boston/Scratch/dli_del/wav_split_gold/logs/13.log
14,14,11.005,13.402, ,TOYa_audio_TNenets.wav,yrk,/Volumes/Boston/Data/NLP/SharedTask/ASR/Pilot_Data/audio_to_release/yrk/TOYa_audio_TNenets.wav,/Volumes/Boston/Scratch/dli_del/wav_split_gold/14.wav,/Volumes/Boston/Scratch/dli_del/wav_split_gold/logs/14.log
15,15,13.402,15.229,Tăd tikād (< tikaăd) tiki oyh ninya soyaqmaădăni,TOYa_audio_TNenets.wav,yrk,/Volumes/Boston/Data/NLP/SharedTask/ASR/Pilot_Data/audio_to_release/yrk/TOYa_audio_TNenets.wav,/Volumes/Boston/Scratch/dli_del/wav_split_gold/15.wav,/Volumes/Boston/Scratch/dli_del/wav_split_gold/logs/15.log
