path	sentence
./data/wav_split_gold/654.wav	yesya arwămda awdamda».
./data/wav_split_gold/693.wav	"Tăryemhsirŋā anih,"
./data/wav_split_gold/756.wav	nyeriq.»
./data/wav_split_gold/1521.wav	Miniko laănăkoda ŋanih nyanănda ai. 
./data/wav_split_gold/68.wav	Ti raciyaăna maq. 
./data/wav_split_gold/1444.wav	ŋămgǣǣrtărimboy. 
./data/wav_split_gold/342.wav	  Siirtya maqniwh: 
./data/wav_split_gold/803.wav	tyaănyaŋi nisyǎ mih tiki muŋgoh pyayq tiki syudbyako lăbtǣyh myunya ŋămgǣǣw yar sonyoq.
./data/wav_split_gold/352.wav	 maănda maănda nyana padda tari(tǣri) labtorŋa.
./data/wav_split_gold/1420.wav	"«ălcoqlǣr ti, "
./data/wav_split_gold/405.wav	tyuku manʹ ancyerh ilyedmh tyedah. 
./data/wav_split_gold/860.wav	«Nyuml ŋǣdakǣ̄».
./data/wav_split_gold/1097.wav	"tyeda ŋumdămih niŋgăanih,"
./data/wav_split_gold/738.wav	nyudya ăbimh panătă̌ta ŋudah wǣta nyǎqămaqda.
./data/wav_split_gold/1237.wav	Wǣy syudbyar myattyuŋow:
./data/wav_split_gold/437.wav	paryeŋodah arădh nyabi ǣw yaŋgoda.
./data/wav_split_gold/1635.wav	Ti laanakoni pirda. 
./data/wav_split_gold/1388.wav	"Mănʹ ănmi anā anih nyudyercʹ anada maqniwq măncyaw yada ăyadmh,"
./data/wav_split_gold/1312.wav	Maqniwh:
./data/wav_split_gold/509.wav	"pulita yolcʹmăna maqniwq yah ŋilh lumbădanh sǣywi,"
./data/wav_split_gold/928.wav	"nyudyaawmh nyǎqămsadăwā, "
./data/wav_split_gold/445.wav	Wadyetin?
./data/wav_split_gold/1681.wav	" A Warңǣ, warңǣ? "
./data/wav_split_gold/121.wav	Tika(ko)cyai ŋănih măntǣyq. 
./data/wav_split_gold/1675.wav	Ti. 
./data/wav_split_gold/823.wav	"Tiki, tiki ŋăcyekǣr maqniwq mi,"
./data/wav_split_gold/1222.wav	"syoǒnda mǣira anih ŋulih onyedaănda, "
./data/wav_split_gold/1143.wav	yolʹcyey mǣyraqnidawq.  
./data/wav_split_gold/1158.wav	"«Mǣmi tyedah mǣqyaq,"
./data/wav_split_gold/836.wav	Ti orkih piruwna anyena ŋăcyekǣŋǣ ǣya.
./data/wav_split_gold/1596.wav	"Luciq, luciq anh siңǣy tyetǣy oramdaңǣy Salyeyakoyaqyeyңǣy ңilanda pyawidowңǣy taңi sǣlanaңǣy nyarmye lucidaңǣy lucandow anh siq. "
./data/wav_split_gold/736.wav	Tikimh nămdăăwa siqiw ăbir nyoh simh pida ǣqnidaqamh. 
./data/wav_split_gold/637.wav	Maqniwh: «Syanh tărcyadmh nidmh ŋǣŋguh».
./data/wav_split_gold/150.wav	"ti tʃtob tanyana pon' mǣŋguwa"" koralʹ mǣcʹ tara""."
./data/wav_split_gold/139.wav	"Lucid yada to""."
./data/wav_split_gold/193.wav	Tikaad ti ŋani ŋob' tim' oni'  
./data/wav_split_gold/660.wav	"Ti laănakor,"
./data/wav_split_gold/778.wav	Numh ŋǣryoyma. 
./data/wav_split_gold/408.wav	Nyonda si ŋanih tăqăyalʹnyah ŋǣwi. 
./data/wav_split_gold/196.wav	owǣmi'.
./data/wav_split_gold/1167.wav	"Taslaăya ŋobhyootah,"
./data/wav_split_gold/996.wav	Săbye ponh ninih yadh maqniwq syudbyako mandyabǣ(manyabǣ).
./data/wav_split_gold/1753.wav	 Ңumb-ya. 
